Chromosome	Start	End	Strand	Gene_ID	VSG_ID
CM032576.1	1976302	1977317	-	Tb1125.VSG.400	Tbb1125VSG-5550.3
CM032576.1	1981091	1982653	-	Tb1125.VSG.410	Tbb1125VSG-4084.2
CM032576.1	1985140	1986315	-	Tb1125.VSG.420	Tbb1125VSG-5071
CM032576.1	1991445	1992902	-	Tb1125.VSG.430	Tbb1125VSG-4335
CM032576.1	1994147	1995700	-	Tb1125.VSG.440	Tbb1125VSG-1243
CM032576.1	2002032	2002997	-	Tb1125.VSG.450	Tbb1125VSG-2812.2
CM032576.1	2058168	2059655	+	Tb1125.VSG.460	Tbb1125VSG-10
CM032577.1	472007	473287	-	Tb1125.VSG.470	Tbb1125VSG-2039
CM032577.1	680894	682042	-	Tb1125.11.19990	Tbb1125VSG-2681
CM032577.1	683829	685331	-	Tb1125.11.20010	Tbb1125VSG-5409
CM032577.1	688696	690267	-	Tb1125.11.20020	Tbb1125VSG-5444
CM032577.1	692086	693555	-	Tb1125.11.20030	Tbb1125VSG-1445
CM032577.1	695206	696792	-	Tb1125.11.20040	Tbb1125VSG-2556.2
CM032577.1	709967	710962	+	Tb1125.VSG.480	Tbb1125VSG-5330
CM032577.1	712919	714538	+	Tb1125.VSG.490	Tbb1125VSG-111
CM032577.1	788370	789713	-	Tb1125.2.2060	Tbb1125VSG-435.1
CM032577.1	1600154	1601750	+	Tb1125.2.6350	Tbb1125VSG-2712
CM032577.1	1615193	1616578	-	Tb1125.VSG.500	Tbb1125VSG-1688
CM032577.1	1631303	1632343	-	Tb1125.VSG.510	Tbb1125VSG-2755.1
CM032577.1	1634015	1635415	-	Tb1125.VSG.520	Tbb1125VSG-2530
CM032577.1	1637342	1638754	-	Tb1125.VSG.530	Tbb1125VSG-4715
CM032577.1	1640232	1641508	-	Tb1125.VSG.540	Tbb1125VSG-1291
CM032578.1	1882	3253	+	Tb1125.VSG.550	Tbb1125VSG-4789.2
CM032578.1	5334	6844	+	Tb1125.VSG.560	Tbb1125VSG-4181.2
CM032578.1	8741	9791	+	Tb1125.VSG.570	Tbb1125VSG-5215.1
CM032578.1	20518	21675	+	Tb1125.VSG.580	Tbb1125VSG-2675
CM032578.1	32871	33766	+	Tb1125.VSG.590	Tbb1125VSG-5478.1
CM032578.1	39585	41051	+	Tb1125.VSG.600	Tbb1125VSG-1082
CM032578.1	42630	43823	+	Tb1125.VSG.610	Tbb1125VSG-2760
CM032578.1	45956	47143	+	Tb1125.VSG.620	Tbb1125VSG-5059.1
CM032578.1	56663	57940	+	Tb1125.VSG.630	Tbb1125VSG-4934
CM032578.1	60236	61750	+	Tb1125.VSG.640	Tbb1125VSG-4173
CM032578.1	64388	65236	+	Tb1125.VSG.650	Tbb1125VSG-5574
CM032578.1	75266	76237	+	Tb1125.VSG.660	Tbb1125VSG-5361
CM032578.1	78180	82382	+	Tb1125.9.17190	Tbb1125VSG-5629
CM032578.1	84991	86373	+	Tb1125.VSG.670	Tbb1125VSG-430
CM032578.1	89327	90912	+	Tb1125.10.16360	Tbb1125VSG-4038.1
CM032578.1	92628	93400	+	Tb1125.VSG.680	Tbb1125VSG-1611.1
CM032578.1	96608	97678	+	Tb1125.VSG.690	Tbb1125VSG-1420
CM032578.1	102238	103755	+	Tb1125.VSG.700	Tbb1125VSG-4307
CM032578.1	109514	110840	+	Tb1125.VSG.710	Tbb1125VSG-2551
CM032578.1	117970	119493	+	Tb1125.VSG.720	Tbb1125VSG-3191
CM032578.1	122114	123677	+	Tb1125.3.170	Tbb1125VSG-1706
CM032578.1	125707	127287	+	Tb1125.3.180	Tbb1125VSG-4061
CM032578.1	129342	130895	+	Tb1125.3.190	Tbb1125VSG-4212
CM032578.1	132219	140533	+	Tb1125.3.210	Tbb1125VSG-5098
CM032578.1	146251	147852	+	Tb1125.3.300	Tbb1125VSG-4182
CM032578.1	157487	158419	+	Tb1125.VSG.730	Tbb1125VSG-5431
CM032578.1	159766	160902	+	Tb1125.VSG.740	Tbb1125VSG-1772
CM032578.1	164486	165424	+	Tb1125.VSG.750	Tbb1125VSG-5416
CM032578.1	178893	179658	+	Tb1125.VSG.760	Tbb1125VSG-5752.2
CM032578.1	182147	183174	+	Tb1125.VSG.770	Tbb1125VSG-1396
CM032578.1	218449	219471	-	Tb1125.VSG.780	Tbb1125VSG-2767
CM032578.1	221937	223109	-	Tb1125.VSG.790	Tbb1125VSG-2670
CM032578.1	225186	226566	-	Tb1125.11.19410	Tbb1125VSG-1307
CM032578.1	232197	233208	+	Tb1125.VSG.800	Tbb1125VSG-2075
CM032578.1	238436	239230	+	Tb1125.VSG.810	Tbb1125VSG-1596
CM032578.1	242120	242986	+	Tb1125.VSG.820	Tbb1125VSG-5538
CM032578.1	254888	256405	+	Tb1125.3.320	Tbb1125VSG-5413
CM032578.1	261849	263429	+	Tb1125.3.340	Tbb1125VSG-5142
CM032578.1	267477	268433	+	Tb1125.VSG.830	Tbb1125VSG-5383
CM032578.1	270113	271847	+	Tb1125.3.370	Tbb1125VSG-232
CM032578.1	274539	276076	+	Tb1125.3.390	Tbb1125VSG-2928
CM032578.1	277923	279457	+	Tb1125.3.400	Tbb1125VSG-5777
CM032578.1	281657	283181	+	Tb1125.3.410	Tbb1125VSG-1274
CM032578.1	288851	290380	+	Tb1125.VSG.840	Tbb1125VSG-4138
CM032578.1	293723	295267	+	Tb1125.3.470	Tbb1125VSG-4780
CM032578.1	296282	297899	+	Tb1125.3.480	Tbb1125VSG-5510
CM032578.1	299286	300887	+	Tb1125.3.490	Tbb1125VSG-3190
CM032578.1	305899	307368	+	Tb1125.VSG.850	Tbb1125VSG-324
CM032578.1	310521	311979	+	Tb1125.Tb10.v4.0231	Tbb1125VSG-2983
CM032578.1	314336	315901	+	Tb1125.VSG.860	Tbb1125VSG-1686
CM032578.1	317857	319374	+	Tb1125.VSG.870	Tbb1125VSG-1675
CM032578.1	330812	332380	+	Tb1125.VSG.880	Tbb1125VSG-3107
CM032578.1	357673	359214	+	Tb1125.VSG.890	Tbb1125VSG-188
CM032578.1	360728	362116	+	Tb1125.11.17950	Tbb1125VSG-2896
CM032578.1	367600	369278	+	Tb1125.11.17920	Tbb1125VSG-4039.1
CM032578.1	370791	372353	+	Tb1125.Tb09.v4.0102	Tbb1125VSG-164
CM032578.1	374846	376380	+	Tb1125.Tb09.v4.0103	Tbb1125VSG-4951
CM032578.1	427975	429433	+	Tb1125.VSG.900	Tbb1125VSG-489
CM032578.1	437649	439081	+	Tb1125.VSG.910	Tbb1125VSG-1125.1
CM032578.1	440997	441869	+	Tb1125.VSG.920	Tbb1125VSG-5528
CM032578.1	447592	448720	+	Tb1125.VSG.930	Tbb1125VSG-3174.1
CM032578.1	462287	463321	-	Tb1125.VSG.940	Tbb1125VSG-1449.2
CM032578.1	466297	467716	+	Tb1125.VSG.950	Tbb1125VSG-177.6
CM032578.1	474161	475895	+	Tb1125.Tb10.v4.0113	Tbb1125VSG-5755
CM032578.1	479607	481150	+	Tb1125.VSG.960	Tbb1125VSG-177.4
CM032578.1	487596	488926	+	Tb1125.Tb11.v5.1033	Tbb1125VSG-5755.1
CM032578.1	490920	492432	+	Tb1125.VSG.970	Tbb1125VSG-4302.2
CM032578.1	498174	499648	+	Tb1125.VSG.980	Tbb1125VSG-301.1
CM032578.1	502037	503701	+	Tb1125.VSG.990	Tbb1125VSG-4023
CM032578.1	513901	514767	+	Tb1125.VSG.1000	Tbb1125VSG-5531
CM032578.1	516685	517438	+	Tb1125.VSG.1010	Tbb1125VSG-5765.3
CM032578.1	523000	524382	+	Tb1125.VSG.1020	Tbb1125VSG-1196
CM032578.1	530060	531571	+	Tb1125.VSG.1030	Tbb1125VSG-4165
CM032578.1	534613	536007	+	Tb1125.VSG.1040	Tbb1125VSG-4748
CM032578.1	546853	548339	+	Tb1125.6.5420	Tbb1125VSG-5180.3
CM032578.1	550876	551652	+	Tb1125.VSG.1050	Tbb1125VSG-1609
CM032578.1	553937	555133	+	Tb1125.VSG.1060	Tbb1125VSG-5049
CM032578.1	556766	558718	+	Tb1125.9.1180	Tbb1125VSG-1513
CM032578.1	561436	562314	+	Tb1125.VSG.1070	Tbb1125VSG-5511
CM032578.1	565249	566652	+	Tb1125.VSG.1080	Tbb1125VSG-2529
CM032578.1	568333	569517	+	Tb1125.VSG.1090	Tbb1125VSG-5065
CM032578.1	571097	572401	+	Tb1125.VSG.1100	Tbb1125VSG-4884
CM032578.1	574296	575684	+	Tb1125.VSG.1110	Tbb1125VSG-4758
CM032578.1	858538	859652	+	Tb1125.3.1520	Tbb1125VSG-1402.1
CM032578.1	872120	873253	-	Tb1125.3.1500	Tbb1125VSG-1401
CM032578.1	874300	875414	-	Tb1125.3.1470	Tbb1125VSG-1402
CM032578.1	1108291	1110966	-	Tb1125.3.2500	Tbb1125VSG-4916
CM032578.1	1115965	1118529	-	Tb1125.3.2540	Tbb1125VSG-1387.1
CM032579.1	1789542	1791149	+	Tb1125.4.5400	Tbb1125VSG-1646
CM032579.1	1798486	1799403	-	Tb1125.VSG.1120	Tbb1125VSG-2862.1
CM032579.1	1801083	1802111	-	Tb1125.VSG.1130	Tbb1125VSG-2762
CM032579.1	1810867	1812366	-	Tb1125.VSG.1140	Tbb1125VSG-258
CM032579.1	1834659	1836109	+	Tb1125.VSG.1150	Tbb1125VSG-2029
CM032579.1	1847432	1849294	-	Tb1125.3.5880	Tbb1125VSG-4338
CM032579.1	1854582	1856192	-	Tb1125.3.5890	Tbb1125VSG-2832
CM032579.1	1858080	1859580	-	Tb1125.3.5900	Tbb1125VSG-2769
CM032579.1	1862175	1863011	-	Tb1125.VSG.1160	Tbb1125VSG-2949
CM032579.1	1867790	1869359	-	Tb1125.Tb08.27P2.460	Tbb1125VSG-5248
CM032579.1	1876178	1877251	-	Tb1125.VSG.1170	Tbb1125VSG-1416
CM032579.1	1878817	1879599	-	Tb1125.VSG.1180	Tbb1125VSG-5702
CM032579.1	1880588	1881361	-	Tb1125.VSG.1190	Tbb1125VSG-3025
CM032579.1	1883919	1885373	-	Tb1125.VSG.1200	Tbb1125VSG-2517
CM032579.1	1890493	1891515	-	Tb1125.VSG.1210	Tbb1125VSG-1462
CM032579.1	1893061	1894005	-	Tb1125.VSG.1220	Tbb1125VSG-1500
CM032579.1	1896030	1897256	-	Tb1125.VSG.1230	Tbb1125VSG-1330
CM032579.1	1898856	1899950	-	Tb1125.VSG.1240	Tbb1125VSG-1404
CM032579.1	1906876	1908165	-	Tb1125.VSG.1250	Tbb1125VSG-4913.1
CM032579.1	1913256	1914218	-	Tb1125.VSG.1260	Tbb1125VSG-5373
CM032579.1	1915794	1917457	+	Tb1125.Tb11.v5.0758	Tbb1125VSG-160
CM032579.1	1920565	1922283	-	Tb1125.VSG.1270	Tbb1125VSG-4015
CM032579.1	1923512	1925029	-	Tb1125.Tb08.27P2.630	Tbb1125VSG-5686
CM032579.1	1931138	1932022	-	Tb1125.VSG.1280	Tbb1125VSG-2897
CM032579.1	1939817	1941148	-	Tb1125.VSG.1290	Tbb1125VSG-1247
CM032579.1	1943016	1944554	-	Tb1125.VSG.1300	Tbb1125VSG-1017
CM032579.1	1946875	1947666	-	Tb1125.VSG.1310	Tbb1125VSG-1598
CM032579.1	1956852	1958379	-	Tb1125.11.17120	Tbb1125VSG-1372
CM032579.1	1961943	1963262	+	Tb1125.VSG.1320	Tbb1125VSG-4871
CM032579.1	1965622	1966941	+	Tb1125.VSG.1330	Tbb1125VSG-4871.1
CM032579.1	1969100	1970419	+	Tb1125.VSG.1340	Tbb1125VSG-4871.2
CM032579.1	1972673	1974181	+	Tb1125.9.1050	Tbb1125VSG-4871.3
CM032579.1	1979360	1980985	+	Tb1125.VSG.1350	Tbb1125VSG-4036.1
CM032579.1	1992748	1993899	+	Tb1125.9.16720	Tbb1125VSG-1372.1
CM032579.1	2001691	2002890	+	Tb1125.VSG.1360	Tbb1125VSG-3095
CM032579.1	2087895	2088677	-	Tb1125.VSG.1370	Tbb1125VSG-5706
CM032579.1	2095315	2096372	-	Tb1125.VSG.1380	Tbb1125VSG-1434
CM032579.1	2098791	2099633	-	Tb1125.VSG.1390	Tbb1125VSG-5582.1
CM032579.1	2102119	2103648	-	Tb1125.VSG.1400	Tbb1125VSG-4054
CM032579.1	2106641	2108317	-	Tb1125.VSG.1410	Tbb1125VSG-4019
CM032579.1	2112613	2114187	-	Tb1125.VSG.1420	Tbb1125VSG-1639.1
CM032579.1	2115718	2116704	-	Tb1125.VSG.1430	Tbb1125VSG-2884.1
CM032579.1	2119587	2120951	-	Tb1125.VSG.1440	Tbb1125VSG-4805
CM032579.1	2124042	2125517	-	Tb1125.4.5500	Tbb1125VSG-1635
CM032579.1	2127138	2128598	-	Tb1125.VSG.1450	Tbb1125VSG-4329
CM032579.1	2131078	2131982	-	Tb1125.VSG.1460	Tbb1125VSG-5469.2
CM032579.1	2139462	2140874	-	Tb1125.VSG.1470	Tbb1125VSG-2976
CM032579.1	2147834	2149414	+	Tb1125.VSG.1480	Tbb1125VSG-137
CM032579.1	2155610	2156854	-	Tb1125.VSG.1490	Tbb1125VSG-2611
CM032579.1	2176317	2177950	-	Tb1125.VSG.1500	Tbb1125VSG-523
CM032579.1	2179287	2180696	-	Tb1125.VSG.1510	Tbb1125VSG-412
CM032579.1	2181959	2183410	-	Tb1125.VSG.1520	Tbb1125VSG-3080
CM032579.1	2185748	2187289	-	Tb1125.VSG.1530	Tbb1125VSG-4051.1
CM032579.1	2204027	2205685	-	Tb1125.11.17440	Tbb1125VSG-1002
CM032579.1	2213644	2214510	-	Tb1125.VSG.1540	Tbb1125VSG-3161
CM032579.1	2217944	2219500	-	Tb1125.VSG.1550	Tbb1125VSG-452
CM032579.1	2220970	2222464	-	Tb1125.VSG.1560	Tbb1125VSG-1647
CM032579.1	2227201	2228094	-	Tb1125.VSG.1570	Tbb1125VSG-5390
CM032579.1	2235651	2236889	-	Tb1125.VSG.1580	Tbb1125VSG-2615
CM032579.1	2239107	2240606	-	Tb1125.VSG.1590	Tbb1125VSG-1027
CM032579.1	2245552	2246853	-	Tb1125.VSG.1600	Tbb1125VSG-5474
CM032579.1	2254612	2255973	-	Tb1125.VSG.1610	Tbb1125VSG-4813.1
CM032579.1	2263485	2264306	-	Tb1125.VSG.1620	Tbb1125VSG-2964
CM032579.1	2266769	2268240	-	Tb1125.Tb09.v4.0169	Tbb1125VSG-3061
CM032579.1	2269933	2271402	-	Tb1125.Tb10.v4.0105	Tbb1125VSG-1682
CM032579.1	2273858	2275390	-	Tb1125.VSG.1630	Tbb1125VSG-4132
CM032579.1	2284811	2285956	-	Tb1125.VSG.1640	Tbb1125VSG-4003.1
CM032579.1	2289592	2290578	-	Tb1125.VSG.1650	Tbb1125VSG-1479
CM032579.1	2294787	2296220	-	Tb1125.VSG.1660	Tbb1125VSG-4675
CM032579.1	2310517	2311971	-	Tb1125.VSG.1670	Tbb1125VSG-4341
CM032579.1	2313236	2314657	-	Tb1125.VSG.1680	Tbb1125VSG-4120
CM032579.1	2317833	2319167	-	Tb1125.VSG.1690	Tbb1125VSG-4853
CM032579.1	2327537	2328907	-	Tb1125.VSG.1700	Tbb1125VSG-4797
CM032579.1	2332129	2333334	-	Tb1125.VSG.1710	Tbb1125VSG-5021
CM032579.1	2336934	2337689	-	Tb1125.VSG.1720	Tbb1125VSG-5770
CM032579.1	2342141	2343610	-	Tb1125.VSG.1730	Tbb1125VSG-322
CM032579.1	2345787	2347304	-	Tb1125.VSG.1740	Tbb1125VSG-4159
CM032579.1	2349791	2350555	-	Tb1125.VSG.1750	Tbb1125VSG-5752.4
CM032579.1	2361137	2361952	+	Tb1125.VSG.1760	Tbb1125VSG-2974
CM032579.1	2380395	2381939	-	Tb1125.VSG.1770	Tbb1125VSG-4111
CM032579.1	2383143	2384612	-	Tb1125.Tb10.v4.0118	Tbb1125VSG-328
CM032579.1	2386881	2388509	+	Tb1125.VSG.1780	Tbb1125VSG-140
CM032579.1	2400323	2401714	-	Tb1125.VSG.1790	Tbb1125VSG-2534
CM032579.1	2404908	2405804	-	Tb1125.VSG.1800	Tbb1125VSG-1529
CM032579.1	2407830	2409032	-	Tb1125.VSG.1810	Tbb1125VSG-2647
CM032579.1	2410501	2412048	-	Tb1125.VSG.1820	Tbb1125VSG-4106
CM032579.1	2418909	2419694	-	Tb1125.VSG.1830	Tbb1125VSG-1604
CM032579.1	2420682	2422148	-	Tb1125.VSG.1840	Tbb1125VSG-498
CM032579.1	2427060	2428301	+	Tb1125.10.16320	Tbb1125VSG-2658
CM032579.1	2444703	2446052	-	Tb1125.11.19170	Tbb1125VSG-1234
CM032579.1	2450960	2452429	-	Tb1125.VSG.1850	Tbb1125VSG-2541
CM032579.1	2455014	2456525	-	Tb1125.VSG.1860	Tbb1125VSG-4170
CM032579.1	2462351	2463331	-	Tb1125.VSG.1870	Tbb1125VSG-2798
CM032579.1	2480298	2481308	+	Tb1125.VSG.1880	Tbb1125VSG-5301
CM032579.1	2484396	2485898	+	Tb1125.VSG.1890	Tbb1125VSG-4196.2
CM032579.1	2487831	2489294	+	Tb1125.VSG.1900	Tbb1125VSG-1781
CM032579.1	2491306	2492850	+	Tb1125.VSG.1910	Tbb1125VSG-4110
CM032579.1	2497821	2499221	+	Tb1125.VSG.1920	Tbb1125VSG-4738
CM032579.1	2500510	2501275	+	Tb1125.VSG.1930	Tbb1125VSG-5728.2
CM032579.1	2504738	2506114	+	Tb1125.VSG.1940	Tbb1125VSG-4784
CM032579.1	2507956	2509380	+	Tb1125.VSG.1950	Tbb1125VSG-4692
CM032579.1	2515407	2516870	+	Tb1125.VSG.1960	Tbb1125VSG-333
CM032579.1	2525559	2526677	-	Tb1125.VSG.1970	Tbb1125VSG-5133
CM032579.1	2531507	2532472	-	Tb1125.VSG.1980	Tbb1125VSG-2812
CM032579.1	2540151	2541765	-	Tb1125.VSG.1990	Tbb1125VSG-4298.1
CM032579.1	2551579	2552991	-	Tb1125.VSG.2000	Tbb1125VSG-1152
CM032579.1	2555259	2556290	-	Tb1125.VSG.2010	Tbb1125VSG-2761
CM032579.1	2559039	2559968	-	Tb1125.VSG.2020	Tbb1125VSG-2076.1
CM032579.1	2562983	2564445	-	Tb1125.9.210	Tbb1125VSG-2765.1
CM032579.1	2568524	2569969	-	Tb1125.Tb11.1150	Tbb1125VSG-3059.1
CM032579.1	2576617	2577810	-	Tb1125.VSG.2030	Tbb1125VSG-3079
CM032579.1	2578968	2579840	-	Tb1125.VSG.2040	Tbb1125VSG-5527
CM032579.1	2582848	2584324	-	Tb1125.VSG.2050	Tbb1125VSG-2504.2
CM032579.1	2589924	2591504	-	Tb1125.VSG.2060	Tbb1125VSG-4063
CM032579.1	2604155	2605543	-	Tb1125.VSG.2070	Tbb1125VSG-2019
CM032579.1	2609386	2610899	-	Tb1125.Tb10.v4.0230	Tbb1125VSG-5621.1
CM032579.1	2615368	2616639	-	Tb1125.Tb08.27P2.490	Tbb1125VSG-2751
CM032579.1	2621977	2623359	-	Tb1125.VSG.2080	Tbb1125VSG-1197
CM032579.1	2624906	2626435	-	Tb1125.VSG.2090	Tbb1125VSG-207
CM032579.1	2634223	2635749	-	Tb1125.VSG.2100	Tbb1125VSG-2036.1
CM032579.1	2637757	2639301	-	Tb1125.VSG.2110	Tbb1125VSG-436.1
CM032579.1	2641088	2642894	-	Tb1125.Tb05.5K5.330	Tbb1125VSG-1199
CM032579.1	2648101	2649672	-	Tb1125.Tb05.5K5.360	Tbb1125VSG-5681
CM032579.1	2654220	2655807	-	Tb1125.Tb05.5K5.380	Tbb1125VSG-1267
CM032579.1	2662356	2665479	-	Tb1125.Tb05.5K5.400	Tbb1125VSG-1158
CM032579.1	2665675	2667237	-	Tb1125.Tb05.5K5.410	Tbb1125VSG-4760
CM032579.1	2669581	2671074	-	Tb1125.Tb05.5K5.450	Tbb1125VSG-2515
CM032579.1	2674379	2675152	-	Tb1125.VSG.2120	Tbb1125VSG-1611
CM032579.1	2680555	2682132	-	Tb1125.VSG.2130	Tbb1125VSG-141
CM032579.1	2686707	2688251	-	Tb1125.Tb05.5K5.490	Tbb1125VSG-1627
CM032579.1	2695167	2696555	-	Tb1125.VSG.2140	Tbb1125VSG-4757
CM032579.1	2705270	2706547	-	Tb1125.VSG.2150	Tbb1125VSG-4936
CM032579.1	2712366	2713916	-	Tb1125.VSG.2160	Tbb1125VSG-205
CM032579.1	2716046	2717062	-	Tb1125.VSG.2170	Tbb1125VSG-5290
CM032579.1	2718629	2720341	-	Tb1125.VSG.2180	Tbb1125VSG-4017
CM032579.1	2723250	2724641	-	Tb1125.VSG.2190	Tbb1125VSG-4750
CM032579.1	2727114	2728664	-	Tb1125.VSG.2200	Tbb1125VSG-176
CM032579.1	2730645	2732246	-	Tb1125.6.5280	Tbb1125VSG-4278
CM032579.1	2735342	2736748	-	Tb1125.VSG.2210	Tbb1125VSG-4731
CM032579.1	2738683	2739753	-	Tb1125.VSG.2220	Tbb1125VSG-5188
CM032579.1	2741869	2745452	-	Tb1125.4.5530	Tbb1125VSG-1259
CM032579.1	2749537	2751057	-	Tb1125.4.5560	Tbb1125VSG-247
CM032579.1	2761493	2762980	-	Tb1125.4.5580	Tbb1125VSG-329
CM032579.1	2768000	2769529	-	Tb1125.4.5600	Tbb1125VSG-1618
CM032579.1	2781623	2782999	-	Tb1125.VSG.2230	Tbb1125VSG-2022
CM032579.1	2801226	2803297	-	Tb1125.4.5690	Tbb1125VSG-4021
CM032579.1	2804921	2806351	-	Tb1125.4.5700	Tbb1125VSG-4677.1
CM032579.1	2815765	2817069	-	Tb1125.VSG.2240	Tbb1125VSG-2569
CM032579.1	2818710	2820329	-	Tb1125.VSG.2250	Tbb1125VSG-261
CM032579.1	2839981	2841483	-	Tb1125.VSG.2260	Tbb1125VSG-2016.1
CM032579.1	2844078	2845682	-	Tb1125.VSG.2270	Tbb1125VSG-118
CM032579.1	2847928	2849241	-	Tb1125.VSG.2280	Tbb1125VSG-1259.1
CM032579.1	2855451	2857331	-	Tb1125.4.5640	Tbb1125VSG-2049
CM032579.1	2875845	2877459	-	Tb1125.VSG.2290	Tbb1125VSG-4021.1
CM032579.1	2879082	2880512	-	Tb1125.VSG.2300	Tbb1125VSG-4677
CM032579.1	2882608	2884371	-	Tb1125.4.5710	Tbb1125VSG-5132
CM032579.1	2886021	2887474	-	Tb1125.4.5720	Tbb1125VSG-1701
CM032579.1	2887985	2890984	-	Tb1125.4.5730	Tbb1125VSG-4762
CM032579.1	2908749	2910269	-	Tb1125.9.310	Tbb1125VSG-1191
CM032579.1	2911616	2912967	-	Tb1125.9.300	Tbb1125VSG-1417
CM032579.1	2914077	2916924	-	Tb1125.9.290	Tbb1125VSG-2933
CM032579.1	2919007	2920552	-	Tb1125.9.270	Tbb1125VSG-2086
CM032579.1	2935718	2937109	-	Tb1125.VSG.2310	Tbb1125VSG-1186
CM032579.1	2939032	2940306	-	Tb1125.VSG.2320	Tbb1125VSG-1300
CM032579.1	2944893	2946362	-	Tb1125.VSG.2330	Tbb1125VSG-4249
CM032579.1	2949929	2951377	-	Tb1125.Tb11.1430	Tbb1125VSG-541
CM032579.1	2952951	2954219	-	Tb1125.VSG.2340	Tbb1125VSG-1306
CM032579.1	2956030	2957449	-	Tb1125.Tb11.0980	Tbb1125VSG-1138
CM032579.1	2959726	2960502	-	Tb1125.VSG.2350	Tbb1125VSG-5714
CM032579.1	2970030	2971226	-	Tb1125.VSG.2360	Tbb1125VSG-1350
