seqnames,start,end,score,Type,Group
chr1,801,825,1455,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,826,850,1392,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,851,875,1215,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,876,900,1110,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,901,925,705,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,926,950,462,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,951,975,494,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,976,1000,537,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1001,1025,440,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1026,1050,359,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1051,1075,447,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1076,1100,566,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1101,1125,489,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1126,1150,581,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1151,1175,814,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1176,1200,797,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1201,1225,658,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1226,1250,1317,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1251,1275,1468,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1276,1300,1695,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1301,1325,1970,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1326,1350,1831,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1351,1375,1189,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1376,1400,937,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1401,1425,450,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1426,1450,72,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1451,1475,45,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1476,1500,14,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
chr1,1501,1509,0,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw,A10_Lung_R1_clstr_59.sam.bam.sorted.bam.sorted.bam.bw
